,Feature,Kepler_Importance
0,0,0.056280333549307615
1,1,0.0020472206388011394
2,2,0.00320025313925687
3,3,0.0049386545295191375
4,4,0.005072768728776156
5,5,0.0023018893477868563
6,6,0.0022501559953668204
7,7,0.0038843723408841235
8,8,0.001729790437522416
9,9,0.004317941841808226
10,10,0.00751771459650763
11,11,0.00668459439486313
12,12,0.007534426302568398
13,13,0.0003180856952584854
14,14,0.008135277335944768
15,15,0.00026081955489010156
16,16,0.005929638433643802
17,17,0.008098974712770435
18,18,0.0041513032877666944
19,19,0.0012124931681163353
20,20,0.0011335621494352743
21,21,0.002364318156145906
22,22,0.00026034836689670104
23,23,0.0007413103372406749
24,24,0.0005999449181537386
25,25,0.00044363899511590255
26,26,0.00038859338348040673
27,27,0.0023985977766380895
28,28,0.0017493229158983548
29,29,0.0016610324975889768
30,30,0.0016288496592727908
31,31,0.0016722862454896514
32,32,0.002763507235954754
33,33,0.0032161720813328465
34,34,0.0033724657022362603
35,35,0.0025116036918613194
36,36,0.0018750498500834656
37,37,0.0032229890049161325
38,38,0.0019965975541019754
39,39,0.00351328329225431
40,40,0.005006849859361395
41,41,0.004349892365316466
42,42,0.005607174573386664
43,43,0.0010720911142803047
44,44,0.005481885312280443
45,45,0.0011425955925804532
46,46,0.00489026399647241
47,47,0.005735613029773989
48,48,0.003518600751584944
49,49,0.0024333523232834553
50,50,0.0014033458426695455
51,51,0.002215455235767383
52,52,0.001281892766481496
53,53,0.0012246005870615306
54,54,0.0008702743611662678
55,55,0.0011715068592023092
56,56,0.0008130198129157051
57,57,0.0023889142525311824
58,58,0.0022683061752325484
59,59,0.0014006466125762174
60,60,0.0014150850577940854
61,61,0.002192052056283811
62,62,0.0043639962236674545
63,63,0.005402728456403105
64,64,0.0026609994670332426
65,65,0.00249104860086391
66,66,0.003839504400588334
67,67,0.0025062131329351978
68,68,0.0036942362171397125
69,69,0.005425881872059279
70,70,0.0054239407854759225
71,71,0.006125082561005524
72,72,0.0015971453321224072
73,73,0.006265749031408863
74,74,0.0012588263815916934
75,75,0.00501315319290796
76,76,0.006231397077032463
77,77,0.003815895109554157
78,78,0.0027725343222728682
79,79,0.0018898992630717037
80,80,0.0030511653388695104
81,81,0.001284399222151067
82,82,0.001568505806444298
83,83,0.001159759263414939
84,84,0.001497766818672197
85,85,0.001231056039178724
86,86,0.002875212411302841
87,87,0.0024761604382959046
88,88,0.0016827672617015788
89,89,0.0018203813136868918
90,90,0.004765488519292704
91,91,0.006163579807767827
92,92,0.0036610709468272162
93,93,0.004171383025245223
94,94,0.005422067047603396
95,95,0.0034106882541595773
96,96,0.0056215354111012195
97,97,0.00704181225458822
98,98,0.0071073795563680875
99,99,0.0079338843972937
100,100,0.002529141011253566
101,101,0.007763055332589586
102,102,0.002451804774229238
103,103,0.007064148827864547
104,104,0.007797908766713713
105,105,0.00515761710441176
106,106,0.00437739153472716
107,107,0.002794512998410381
108,108,0.0038683376351528187
109,109,0.0024947941717050615
110,110,0.002442961579055991
111,111,0.0022006058838873743
112,112,0.0026285997682206075
113,113,0.0023700131179646977
114,114,0.004069522156931127
115,115,0.0035917070635503867
116,116,0.003254490634281959
117,117,0.0027947856502448243
118,118,0.004541235097368035
119,119,0.003925880780137225
120,120,0.003285247453009288
121,121,0.0052474295525080095
122,122,0.003400144513763026
123,123,0.005000017605360285
124,124,0.00633131791243613
125,125,0.007244793316693365
126,126,0.007495150253789218
127,127,0.002134103738696602
128,128,0.0080760552971062
129,129,0.0018957502108475355
130,130,0.007548809373358223
131,131,0.008148909330552678
132,132,0.005266985542597302
133,133,0.003750414591126461
134,134,0.002711290323857307
135,135,0.003929649666103763
136,136,0.002195568700119166
137,137,0.0023519793648110188
138,138,0.0017812896514680654
139,139,0.0022363297810006344
140,140,0.0017794617562506554
141,141,0.004182758716429591
142,142,0.003466085669396324
143,143,0.0029022171918392514
144,144,0.0024917930751459094
145,145,0.001990316812139681
146,146,0.002485391263907344
147,147,0.003844271335898264
148,148,0.0023931499396739886
149,149,0.0030546350947815437
150,150,0.004487843023200266
151,151,0.004807251061665019
152,152,0.005387365047034631
153,153,0.0014107001032479527
154,154,0.005965254141268028
155,155,0.0011345620236793419
156,156,0.00509586129967432
157,157,0.0057467594170456104
158,158,0.00409939695483974
159,159,0.002742904637453636
160,160,0.0016421068264452776
161,161,0.002567175328058724
162,162,0.001372000737745016
163,163,0.0013512266735925538
164,164,0.0011688456131996317
165,165,0.001402758143481786
166,166,0.0011340937893586922
167,167,0.002455323279174748
168,168,0.0024476290802475376
169,169,0.0014776407686606374
170,170,0.0013989011880600755
171,171,0.0011304392562512255
172,172,0.0032360872079171266
173,173,0.002092361850569824
174,174,0.00319005666163541
175,175,0.004728344150274455
176,176,0.004666193754750858
177,177,0.005762979276338176
178,178,0.0008580284887568235
179,179,0.005626410153170558
180,180,0.0004822189852816683
181,181,0.004119149861482541
182,182,0.0055159327291284255
183,183,0.0028938395506277192
184,184,0.0016514868530274063
185,185,0.0013251042842227223
186,186,0.002278806895674501
187,187,0.0006580565332193755
188,188,0.001117542401194771
189,189,0.0005709382410608033
190,190,0.0007989875566631888
191,191,0.0006394707838123237
192,192,0.002233183392367555
193,193,0.001825917554287737
194,194,0.0007576706303964453
195,195,0.0013708502023124236
196,196,0.0033243792828701046
197,197,0.003017391928867408
198,198,0.004501972931291176
199,199,0.005587397781311898
200,200,0.006454910116477919
201,201,0.007371629545214087
202,202,0.002468818717201393
203,203,0.007745853294970018
204,204,0.001985520211168046
205,205,0.005987502346717077
206,206,0.007331793080815663
207,207,0.004765942962121517
208,208,0.0036087096532194662
209,209,0.002394816407506495
210,210,0.003532084153514803
211,211,0.0020693339546752343
212,212,0.0019469119568531479
213,213,0.0018452302514263552
214,214,0.00204883978543835
215,215,0.0022247026258904734
216,216,0.003570158001829249
217,217,0.0031458269642117287
218,218,0.002559006626871807
219,219,0.002264615052066099
220,220,0.001315767433988535
221,221,0.002944983388156741
222,222,0.0038725551455138785
223,223,0.004063632093007419
224,224,0.004413880325403685
225,225,0.0013454368760440483
226,226,0.004760613293193883
227,227,0.0010445475803307902
228,228,0.003884375283060182
229,229,0.00457631590178631
230,230,0.0031804937874400085
231,231,0.0020390308184762285
232,232,0.0014842277526831982
233,233,0.002490902597229838
234,234,0.0011652868607836542
235,235,0.001495004882419937
236,236,0.0008327342617843181
237,237,0.001157999808000909
238,238,0.0011008333688350413
239,239,0.0024862419898805665
240,240,0.002168656140293712
241,241,0.0012087770527998698
242,242,0.0012661460687406478
243,243,0.002507536791930054
244,244,0.004633356067459515
245,245,0.006380249384740466
246,246,0.006944647028341522
247,247,0.0011074785168564416
248,248,0.007458048941180295
249,249,0.0010829160303413854
250,250,0.005627391532374348
251,251,0.006468013620179458
252,252,0.004600393195067887
253,253,0.002945118598444374
254,254,0.002175801194433391
255,255,0.003047103084479197
256,256,0.0014002369288801386
257,257,0.001669501413583796
258,258,0.0012038768546531742
259,259,0.001583544205250198
260,260,0.001150288333170324
261,261,0.00322712910530909
262,262,0.0027086388348563917
263,263,0.00180722763026131
264,264,0.001642334326239503
265,265,0.005226976698176955
266,266,0.007907987323516497
267,267,0.00799237942885489
268,268,0.003384648859020234
269,269,0.00868564932601823
270,270,0.002939191661643581
271,271,0.007664300042954819
272,272,0.007915124918206784
273,273,0.006216448085300419
274,274,0.004470557102307815
275,275,0.003159796212267363
276,276,0.004335035161781797
277,277,0.003038042312477174
278,278,0.0030446085810548196
279,279,0.00262872355252175
280,280,0.0030304975569039883
281,281,0.0028305431405450943
282,282,0.004125544091500122
283,283,0.0036334629450042177
284,284,0.003584626353646203
285,285,0.0033761859974867914
286,286,0.006378703899433624
287,287,0.0077365064193546385
288,288,0.0027583173963060537
289,289,0.007710271965286064
290,290,0.002758906846006326
291,291,0.007289391502999676
292,292,0.007709600018903751
293,293,0.005677091175164906
294,294,0.004467517740242233
295,295,0.0030313233437407883
296,296,0.004533434510425982
297,297,0.002850133565088564
298,298,0.002779264940613313
299,299,0.0022397116856142096
300,300,0.0027388029208990083
301,301,0.002102380340127774
302,302,0.0043547894497319994
303,303,0.003850183463147694
304,304,0.003482689243934911
305,305,0.002534663059757025
306,306,0.007410745637536076
307,307,0.00393176195305045
308,308,0.008420799887489228
309,309,0.0038281340181485213
310,310,0.007677432289315833
311,311,0.008049442677713459
312,312,0.006363489825567448
313,313,0.005428062196465633
314,314,0.003907500411696629
315,315,0.005037104844202722
316,316,0.0038350142287345568
317,317,0.0033617936604943832
318,318,0.0035277239901522206
319,319,0.0038036292001882854
320,320,0.0031247641727724096
321,321,0.005383982320060876
322,322,0.004850352556428517
323,323,0.004679840583495798
324,324,0.003200743973382103
325,325,0.0002698311321782665
326,326,0.004652597133946057
327,327,0.00026496957694144285
328,328,0.003325031086971242
329,329,0.004894898278127835
330,330,0.001953696535559435
331,331,0.000819377510631214
332,332,0.0006947966647089521
