,Regularization,Test_Precision,Test_Recall,Test_Score,Train_Precision,Train_Recall,Train_Score,Dropped_Columns,Hypothetical_Score
0,0.01,0.9157746538236748,0.7206751054852321,0.8062189373570448,0.9590707978853577,0.80138838657826,0.8731143963119686,"[344, 347, 76, 265, 329, 329, 306, 6, 329, 313, 313, 129, 306, 265, 391, 133, 133, 329, 294, 129, 347, 313, 329, 306, 243, 306, 313, 313, 129, 306, 347, 15, 306, 391, 391, 313, 346, 391, 346, 391, 391, 346, 313, 313, 346, 346, 129, 129, 313, 274]",0.8189663367863
0,0.01,0.9202041188263168,0.7308666017526777,0.8142741395259817,0.9563839986954452,0.8058308217801888,0.8746302332641328,"[344, 347, 76, 265, 329, 329, 306, 6, 329, 313, 313, 129, 306, 265, 391, 133, 133, 329, 294, 129, 347, 313, 329, 306, 243, 306, 313, 313, 129, 306, 347, 15, 306, 391, 391, 313, 346, 391, 346, 391, 391, 346, 313, 313, 346, 346, 129, 129, 313, 274]",0.8159543985651009
0,0.01,0.9284699614805403,0.7232067510548523,0.8126724034864645,0.9635161009111016,0.8020152702431183,0.8752850966188113,"[344, 347, 76, 265, 329, 329, 306, 6, 329, 313, 313, 129, 306, 265, 391, 133, 133, 329, 294, 129, 347, 313, 329, 306, 243, 306, 313, 313, 129, 306, 347, 15, 306, 391, 391, 313, 346, 391, 346, 391, 391, 346, 313, 313, 346, 346, 129, 129, 313, 274]",0.8182320541309661
0,0.01,0.910694727447963,0.7232067510548523,0.8058795046944743,0.9593931391701016,0.8070926260799677,0.876587417151393,"[344, 347, 76, 265, 329, 329, 306, 6, 329, 313, 313, 129, 306, 265, 391, 133, 133, 329, 294, 129, 347, 313, 329, 306, 243, 306, 313, 313, 129, 306, 347, 15, 306, 391, 391, 313, 346, 391, 346, 391, 391, 346, 313, 313, 346, 346, 129, 129, 313, 274]",0.820394942453766
0,0.01,0.9220391403390267,0.7181434599156118,0.8071141637266029,0.9635574845806893,0.8032831022704439,0.8760757102127934,"[344, 347, 76, 265, 329, 329, 306, 6, 329, 313, 313, 129, 306, 265, 391, 133, 133, 329, 294, 129, 347, 313, 329, 306, 243, 306, 313, 313, 129, 306, 347, 15, 306, 391, 391, 313, 346, 391, 346, 391, 391, 346, 313, 313, 346, 346, 129, 129, 313, 274]",0.8132126229661079
0,0.01,0.8934137713073975,0.7232067510548523,0.7989897971791956,0.9557219234540346,0.8064617239300784,0.8747221319528101,"[344, 347, 76, 265, 329, 329, 306, 6, 329, 313, 313, 129, 306, 265, 391, 133, 133, 329, 294, 129, 347, 313, 329, 306, 243, 306, 313, 313, 129, 306, 347, 15, 306, 391, 391, 313, 346, 391, 346, 391, 391, 346, 313, 313, 346, 346, 129, 129, 313, 274]",0.8136668818106365
0,0.01,0.9135553814002089,0.7232716650438169,0.8069373592515671,0.9597487762454119,0.7969499698613622,0.8707166243932558,"[344, 347, 76, 265, 329, 329, 306, 6, 329, 313, 313, 129, 306, 265, 391, 133, 133, 329, 294, 129, 347, 313, 329, 306, 243, 306, 313, 313, 129, 306, 347, 15, 306, 391, 391, 313, 346, 391, 346, 391, 391, 346, 313, 313, 346, 346, 129, 129, 313, 274]",0.8074646293152237
0,0.01,0.9097866750735604,0.7181434599156118,0.8025250594815813,0.9607619946877058,0.8058308217801888,0.8764550680673034,"[344, 347, 76, 265, 329, 329, 306, 6, 329, 313, 313, 129, 306, 265, 391, 133, 133, 329, 294, 129, 347, 313, 329, 306, 243, 306, 313, 313, 129, 306, 347, 15, 306, 391, 391, 313, 346, 391, 346, 391, 391, 346, 313, 313, 346, 346, 129, 129, 313, 274]",0.8151506872046603
0,0.01,0.9160357753000945,0.7232067510548523,0.8078379244437638,0.9609878210128674,0.8058247940526421,0.8764136511533627,"[344, 347, 76, 265, 329, 329, 306, 6, 329, 313, 313, 129, 306, 265, 391, 133, 133, 329, 294, 129, 347, 313, 329, 306, 243, 306, 313, 313, 129, 306, 347, 15, 306, 391, 391, 313, 346, 391, 346, 391, 391, 346, 313, 313, 346, 346, 129, 129, 313, 274]",0.8130891087825395
0,0.01,0.9191114262082005,0.7232067510548523,0.8093176973059798,0.9568377253516734,0.8007534659433393,0.8718359432313463,"[344, 347, 76, 265, 329, 329, 306, 6, 329, 313, 313, 129, 306, 265, 391, 133, 133, 329, 294, 129, 347, 313, 329, 306, 243, 306, 313, 313, 129, 306, 347, 15, 306, 391, 391, 313, 346, 391, 346, 391, 391, 346, 313, 313, 346, 346, 129, 129, 313, 274]",0.817120095241426
